"age_group","outcome","m","qbar","W","B","Tvar","se_pooled","lcl","ucl","method"
"30–39","Mod+Sev",10,0.235845246460538,0.000228946537079853,1.08466735707207e-05,0.000240877878007645,0.0155202409133249,0.205425574270421,0.266264918650654,"CART"
"30–39","Severe",10,0.0421062174942259,1.63944177524098e-05,2.13574869617026e-06,1.87437413181971e-05,0.00432940426827954,0.033620585128398,0.0505918498600538,"CART"
"40–49","Mod+Sev",10,0.357929809451573,0.000281676697911818,5.90441797812759e-06,0.000288171557687759,0.0169756165628162,0.324657600988453,0.391202017914692,"CART"
"40–49","Severe",10,0.101829786841957,7.37053983215908e-05,6.56219118076109e-06,8.0923808620428e-05,0.00899576614971888,0.0841980851885081,0.119461488495406,"CART"
"50–59","Mod+Sev",10,0.482748512698056,0.000357808037340038,1.91155045943606e-05,0.000378835092393834,0.0194636865057428,0.4445996871468,0.520897338249312,"CART"
"50–59","Severe",10,0.158184679663475,0.000110180650097725,7.95350398970219e-06,0.000118929504486398,0.0109054804793919,0.136809937923867,0.179559421403083,"CART"
"60–69","Mod+Sev",10,0.562190682022013,0.000442115228753787,2.11902430441502e-05,0.000465424496102352,0.0215736991752076,0.519906231638606,0.60447513240542,"CART"
"60–69","Severe",10,0.175725187203974,0.000237516122435475,3.41445401821413e-05,0.000275075116635831,0.0165853886489232,0.143217825452084,0.208232548955863,"CART"
"70–79","Mod+Sev",10,0.667647147654801,0.000560961925716037,2.49177329011922e-05,0.000588371431907349,0.0242563688937019,0.620104664623145,0.715189630686457,"CART"
"70–79","Severe",10,0.179000546197815,0.000227751573631798,4.00568456037177e-05,0.000271814103795887,0.0164867857326978,0.146686446161728,0.211314646233903,"CART"
"80+","Mod+Sev",10,0.792294544422534,0.000577830939265179,5.68559515688667e-05,0.000640372485990932,0.0253055821112839,0.742695603484417,0.84189348536065,"CART"
"80+","Severe",10,0.195455797598176,0.00054006738842347,8.1009022926547e-05,0.000629177313642672,0.0250834071378406,0.146292319608008,0.244619275588343,"CART"
"30–39","Mod+Sev",10,0.232101470223133,0.000228503929218499,9.52310441626147e-06,0.000238979344076387,0.0154589567589921,0.201801914975509,0.262401025470758,"PMM"
"30–39","Severe",10,0.038529096894083,1.4716588204883e-05,2.10230204962198e-06,1.70291204594672e-05,0.00412663548904761,0.0304408913355497,0.0466173024526163,"PMM"
"40–49","Mod+Sev",10,0.36090938732233,0.000280409377675713,7.20720810633617e-06,0.000288337306592683,0.0169804978311204,0.327627611573334,0.394191163071325,"PMM"
"40–49","Severe",10,0.0954063203500958,7.22535822901133e-05,2.36088533031813e-06,7.48505561534633e-05,0.00865162159097722,0.0784491420317804,0.112363498668411,"PMM"
"50–59","Mod+Sev",10,0.483921193419622,0.000344772200053241,4.84796793709693e-06,0.000350104964784048,0.0187110920254283,0.447247453049783,0.520594933789462,"PMM"
"50–59","Severe",10,0.146206087089114,0.000111713942313919,1.06896586308165e-05,0.000123472566807817,0.0111118210392274,0.124426917852228,0.167985256326,"PMM"
"60–69","Mod+Sev",10,0.562651941411239,0.000446265112347811,2.51343030404225e-05,0.000473912845692275,0.0217695394000947,0.519983644187053,0.605320238635425,"PMM"
"60–69","Severe",10,0.161795268966556,0.000238513586357238,5.16551524482302e-05,0.000295334254050291,0.0171852917941562,0.12811209705001,0.195478440883102,"PMM"
"70–79","Mod+Sev",10,0.664813895219022,0.00055818829057804,3.52563733591877e-05,0.000596970301273147,0.0244329756941955,0.616925262858399,0.712702527579645,"PMM"
"70–79","Severe",10,0.153356349670777,0.000237393747685797,5.17888195604708e-05,0.000294361449202315,0.0171569650347116,0.119728698202742,0.186984001138812,"PMM"
"80+","Mod+Sev",10,0.787062761422077,0.000612334926762004,5.88567366297704e-05,0.000677077337054751,0.0260207097723093,0.736062170268351,0.838063352575803,"PMM"
"80+","Severe",10,0.162442076800621,0.000444075578847885,6.8735125460556e-05,0.000519684216854496,0.0227965834469663,0.117760773244567,0.207123380356675,"PMM"
